,Абсолютная ошибка,Относительная ошибка,Теоретическая ошибка
3,0.0004041198030879656,0.030056475702117818,0.004557291666666667
5,1.5256277570152577e-06,0.00011346881112684361,3.7977430555555556e-05
10,5.257128066205041e-12,3.9099975001823635e-10,2.1406830895763187e-11
20,6.290523657526137e-13,4.678587142260786e-11,1.6332934790103295e-26
30,3.5273739484864564e-10,2.6234900780620463e-08,9.91029116659731e-44
40,4.1140015138996233e-07,3.0597952784334175e-05,2.3789170643336584e-62
50,0.00022682959886166643,0.016870488094400032,5.010294122165272e-82
60,0.11674814466636829,8.28336936102891,1.4952149433536201e-102
70,140.79557454487764,99.51802119595312,8.71455012283797e-124
80,77993.4186208717,100.00088295864624,1.248520445119785e-145
90,139505887.07198614,99.99999950636955,5.227948020826171e-168
100,101879015502.40543,99.99999999932184,7.322905978848986e-191
